city,state_id,lat,lng,population
Sandusky,MI,43.4212,-82.8333,2676
Pine Ridge,PA,41.1355,-74.9923,2675
Hawarden,IA,43.0015,-96.4828,2675
Hartford,KY,37.4507,-86.8930,2674
Eldora,IA,42.3605,-93.1013,2673
Vinton,TX,31.9596,-106.5935,2673
Swartzville,PA,40.2287,-76.0809,2672
Cetronia,PA,40.5856,-75.5438,2672
Jayuya,PR,18.2199,-66.5984,2672
Dayton,OR,45.2198,-123.0781,2672
New Boston,OH,38.7516,-82.9351,2672
Carthage,NC,35.3224,-79.4114,2672
Dyer,TN,36.0710,-88.9921,2671
Falmouth,KY,38.6708,-84.3311,2671
Townsend,DE,39.3968,-75.6943,2671
Questa,NM,36.7114,-105.5935,2671
New Palestine,IN,39.7256,-85.8960,2670
Polkton,NC,35.0031,-80.1963,2670
Ruleville,MS,33.7245,-90.5500,2669
Woodbury,TN,35.8247,-86.0723,2668
South Oroville,CA,39.4767,-121.5439,2668
Swift Trail Junction,AZ,32.7305,-109.7148,2668
Venetian Village,IL,42.4012,-88.0468,2667
Van,TX,32.5242,-95.6373,2666
La Fayette,AL,32.8997,-85.4007,2666
Westmoreland,TN,36.5620,-86.2460,2666
Bloomfield,IA,40.7487,-92.4174,2665
Stanton,TX,32.1317,-101.7927,2665
Ponder,TX,33.1781,-97.2910,2665
Evendale,OH,39.2509,-84.4268,2664
Olga,FL,26.7114,-81.6950,2664
Poydras,LA,29.8626,-89.8877,2664
Laurel Park,NC,35.3118,-82.5039,2663
Merrimac,VA,37.1902,-80.4243,2663
Midland,PA,40.6374,-80.4565,2661
McAdoo,PA,40.9009,-75.9924,2661
Arcanum,OH,39.9923,-84.5543,2661
Liberty,NC,35.8555,-79.5682,2660
Avilla,IN,41.3637,-85.2317,2660
Pocasset,MA,41.6877,-70.6195,2660
White Sulphur Springs,WV,37.7981,-80.3005,2659
Belleville,WI,42.8643,-89.5402,2657
Russell Springs,KY,37.0510,-85.0774,2657
Tokeneke,CT,41.0619,-73.4643,2656
Nice,CA,39.1266,-122.8525,2655
Garrettsville,OH,41.2844,-81.0932,2655
Wentworth,NC,36.3914,-79.7510,2655
Strasburg,OH,40.6004,-81.5293,2654
East Sonora,CA,37.9774,-120.3409,2654
Leisure Knoll,NJ,40.0186,-74.2909,2653
Forest Heights,MD,38.8052,-77.0055,2652
Palmer Lake,CO,39.1153,-104.9060,2652
Woodland Beach,MI,41.9419,-83.3140,2652
Houston,MO,37.3212,-91.9610,2651
Sewanee,TN,35.1975,-85.9213,2651
Arlington,NY,41.6965,-73.8989,2651
Hacienda San José,PR,18.2409,-66.0721,2650
Fairmont,IL,41.5614,-88.0587,2649
Hamburg,AR,33.2248,-91.7972,2649
Girard,KS,37.5094,-94.8456,2648
Carlisle,KY,38.3163,-84.0333,2648
Seneca,IL,41.3209,-88.5888,2648
Norwood,NC,35.2337,-80.1147,2648
Gillette,NJ,40.6921,-74.4629,2648
Pagedale,MO,38.6802,-90.3081,2648
Delhi,LA,32.4529,-91.4900,2648
West Newton,PA,40.2094,-79.7699,2648
Bethel,OH,38.9627,-84.0846,2647
Brewster Hill,NY,41.4229,-73.6069,2647
Underwood-Petersville,AL,34.8770,-87.6975,2647
North Hartsville,SC,34.4010,-80.0710,2646
Sandstone,MN,46.1292,-92.8646,2646
La Villa,TX,26.2964,-97.9269,2646
Keokea,HI,20.7211,-156.3625,2645
The Plains,OH,39.3655,-82.1343,2644
Clifton,TN,35.3792,-87.9927,2644
Luxemburg,WI,44.5447,-87.7065,2644
Whidbey Island Station,WA,48.3387,-122.6616,2644
